/train/B06___01_Romans______TAMDIPN1DA_chunk12.wav,298764,தமது நாமத்தின் நிமித்தம் விசுவாசத்திற்கு கீழ்ப்படிய பண்ணுவதற்காக எங்களுக்கு கிருபையையும் அப்போஸ்தல ஊழியத்தையும் கொடுத்திருக்கிறார்
/train/B04___11_John________TAMDIPN1DA_chunk8.wav,186828,அப்பொழுது இயேசு மீண்டும் தமக்குள்ளே கலங்கி கல்லறை இடத்திற்கு வந்த
/train/B03___05_Luke________TAMDIPN1DA_chunk8.wav,384844,பயப்படாதே நீ இனி மனிதர்களை பிடித்தவனாக இருப்பாய் என்றார் அவர்கள் படகுகளை கரையிலே கொண்டு போய் நிறுத்தி எல்லாவற்றையும் விட்டு அவருக்கு பின்னே சென்றார்கள்
/train/B05___28_Acts________TAMDIPN1DA_chunk9.wav,351820,மூன்று மாதங்கள் சென்ற பின்பு அந்த தீவிலே மழைக்காலத்திற்கு தங்கி இருந்த மிதுனம் என்னும் அடையாளம் உடைய அலெக்சாந்திரியா பட்டணத்து கப்பலில் நாங்கள் ஏறி புறப்பட்டு
/train/B06___01_Romans______TAMDIPN1DA_chunk24.wav,205964,சத்தியத்தை அநியாயத்தின் நாளே அடக்கி வைக்கிற மனிதர்களுடைய எல்லா விதமான அவ பக்திக்கும்
/train/B05___13_Acts________TAMDIPN1DA_chunk13.wav,196140,சிலியா பட்டணத்திற்கு வந்து கப்பல் ஏறி அங்கிருந்து சீர்திருத்த தீவுக்கு போனார்கள்
/train/B04___09_John________TAMDIPN1DA_chunk2.wav,505548,அவர் அப்புறம் போகும்போது பிறவிக் குருடன் ஆகிய ஒரு மனிதனைப் பார்த்தார் அப்பொழுது அவருடைய சீடர்கள் அவரைப் பார்த்து ரபி இவன் குருடனாக பிறந்தது யார் செய்த பாவம் இவன் செய்த பாவமோ இவனைப் பெற்றவர்கள் செய்த பாவமோ என்று கேட்டார்கள்
/train/B03___01_Luke________TAMDIPN1DA_chunk18.wav,231692,நியமங்களின் படியும் குற்றமற்றவர்களாக நடந்து தேவனுக்கு முன்பாக நீதி உள்ளவர்களாக இருந்தார்கள்
/train/B03___02_Luke________TAMDIPN1DA_chunk7.wav,377196,குழந்தைக்கு விருத்தசேதனம் பண்ண வேண்டிய எட்டாவது நாளிலே அது கர்ப்பத்தில் உருவாவதற்கு முன்பே தேவதூதர்கள் இயேசு என்று பெயர் வைத்தார்கள்
/train/B01___18_Matthew_____TAMDIPN1DA_chunk5.wav,212844,இந்த சிறியவர்களும் ஒருவரையும் அற்பமாக எண்ணாத படிக்கு எச்சரிக்கையாக இருங்கள்
/train/B01___24_Matthew_____TAMDIPN1DA_chunk7.wav,465836,இனிமேலும் நடைபெறாதது ஆன மிகுந்த உபத்திரவம் அப்பொழுது உண்டாயிருக்கும் அந்த நாட்கள் குறைக்கப்படாது இருந்தால் ஒருவன் கூட தப்பிப் போவதில்லை தெரிந்து கொள்ளப்பட்டவர்கள் நிமித்தம் அந்த நாட்கள் குறைக்கப்படும் அப்பொழுது
/train/B02___08_Mark________TAMDIPN1DA_chunk10.wav,606892,திருடர்கள் அப்பங்களை கொண்டு வர மறந்து போனார்கள் படையிலே அவர்களிடம் ஒரு அப்பம் மட்டுமே இருந்தது அவர் அவர்களைப் பார்த்து நீங்கள் பரிசேயர்கள் உடைய புளித்த மாவை குறித்தும் ஏரோதின் புளித்த மாவை குறித்தும் எச்சரிக்கையாக இருங்கள் என்று கற்பித்தார் அதற்கு அவர்கள்
/train/B01___22_Matthew_____TAMDIPN1DA_chunk3.wav,404780,பரலோக ராஜ்ஜியம் தன் குமாரனுக்கு திருமணம் செய்த ஒரு ராஜாவிற்கு ஒப்பாக இருக்கிறது அழைக்கப்பட்ட அவர்களை திருமணத்திற்கு வர சொல்லும்படி அவன் தன் வேலைக்காரர்களை அனுப்பினான் அவர்கள
/train/B03___23_Luke________TAMDIPN1DA_chunk11.wav,234764,அப்பொழுது ஏறக்குறைய பகல் 12 மணி ஆக இருந்தது மூன்று மணி வரைக்கும் பூமி எங்கும் இருள் உண்டானது
/train/B03___13_Luke________TAMDIPN1DA_chunk13.wav,380076,அவர் எருசலேமுக்கு பயணமாக போகும்போது பட்டணங்கள் தோறும் கிராமங்கள் தோறும் உபதேசம் செய்து கொண்டே போனார் அப்பொழுது ஒருவன் அவரை நோக்கி ஆண்டவரே விடுதலை ஆக்கப்படுகிறார்கள்
/train/B01___22_Matthew_____TAMDIPN1DA_chunk8.wav,371756,அதற்கு அவர் அப்படியானால் ராயன் உடையதை ராயனுக்கு தேவனுடைய தேவனுக்கும் செலுத்துங்கள் என்றார் அவர்கள் அதைக் கேட்டு ஆச்சரியப்பட்டு அவரை விட்டு போய் விட்டார்கள்
/train/B06___01_Romans______TAMDIPN1DA_chunk32.wav,328076,ஆமென் இதனால் தேவன் அவர்களை இழிவான இச்சைகளுக்கு ஒப்புக் கொடுத்தார் அப்படியே அவர்களுடைய பெண்கள் இயற்கையான இச்சையை
/train/B01___03_Matthew_____TAMDIPN1DA_chunk5.wav,564972,அப்பொழுது யோவா நாள் ஞானஸ்நானம் பெறுவதற்கு இயேசு கலிலேயா விட்டு யோர்தானுக்கு அருகே அவனிடத்தில் வந்தார் யோவான் அவருக்கு தடை செய்து நான் உம்மாலே ஞானஸ்நானம் பெற வேண்டியதாய் இருக்க நீர் என்னிடத்தில் வரலாமா என்ற
/train/B05___02_Acts________TAMDIPN1DA_chunk5.wav,179404,அப்பொழுது பலத்த காற்று அடிக்கிறது போல வானத்திலிருந்து திடீரென ஒரு முழக்கம் உண்டாக
/train/B05___21_Acts________TAMDIPN1DA_chunk32.wav,233068,அவன் அனுமதி அளித்தபோது பவுல் படிகளின் மேல் நின்று மக்களைப் பார்த்து அமைதியாக இருக்கச் சொல்லி
/train/B01___20_Matthew_____TAMDIPN1DA_chunk8.wav,398092,அதற்கு அவர்கள் ஒருவரும் எங்களுக்கு வேலை கொடுக்கவில்லை என்றார்கள் அவன் அவர்களைப் பார்த்து நீங்களும் திராட்சைத் தோட்டத்திற்கு போங்கள் நியாயமான படி ஊளி பெற்றுக் கொள்வீர்கள் என்ற
/train/B04___12_John________TAMDIPN1DA_chunk8.wav,238284,பிலிப்பு வந்து அதை அந்திரேயா அறிவித்தான் பின்பு அந்திரேயா பிலிப்பும் அதை இயேசுவுக்கு அறிவித்தார்கள்
/train/B02___05_Mark________TAMDIPN1DA_chunk4.wav,303052,கல்லறையில் இருந்து அவருக்கு எதிராக வந்தான் அவன் கல்லறைகளில் குடியிருந்து வந்தான் அவனை சங்கிலிகளால் கட்டவும் ஒருவனுக்கு முடியவில்லை
/train/B03___05_Luke________TAMDIPN1DA_chunk19.wav,178316,யோவானுடைய சீடர்கள் அனேக தரம் உபவாசித்து ஜெபம் செய்து வருகிறார்கள்
